cumulative_dose_ppmh,condition,resistance_normalized,resistance_error,protein_loading
0.0,Lab-HP,1.0007,0.0232,0.244
100000.0,Lab-HP,1.0263,0.015,0.244
200000.0,Lab-HP,1.1867,0.0219,0.244
300000.0,Lab-HP,1.3506,0.0207,0.244
400000.0,Lab-HP,1.5285,0.0221,0.244
500000.0,Lab-HP,1.7138,0.0182,0.244
600000.0,Lab-HP,1.9597,0.0301,0.244
700000.0,Lab-HP,2.0782,0.0318,0.244
800000.0,Lab-HP,2.2412,0.0307,0.244
900000.0,Lab-HP,2.5201,0.0336,0.244
1000000.0,Lab-HP,2.7321,0.0289,0.244
1100000.0,Lab-HP,2.9609,0.0348,0.244
1200000.0,Lab-HP,3.2231,0.0382,0.244
1300000.0,Lab-HP,3.4169,0.0427,0.244
0.0,Lab-Ctrl,0.9999,0.0003,0.0
100000.0,Lab-Ctrl,0.9905,0.0096,0.0
200000.0,Lab-Ctrl,0.9914,0.0232,0.0
300000.0,Lab-Ctrl,0.9901,0.014,0.0
400000.0,Lab-Ctrl,0.9905,0.0226,0.0
500000.0,Lab-Ctrl,0.9898,0.019,0.0
600000.0,Lab-Ctrl,0.9898,0.0137,0.0
700000.0,Lab-Ctrl,0.9896,0.0186,0.0
800000.0,Lab-Ctrl,0.9891,0.0181,0.0
900000.0,Lab-Ctrl,0.9898,0.013,0.0
1000000.0,Lab-Ctrl,0.9905,0.0071,0.0
1100000.0,Lab-Ctrl,0.9915,0.0142,0.0
1200000.0,Lab-Ctrl,0.9898,0.0183,0.0
1300000.0,Lab-Ctrl,0.9903,0.0174,0.0
0.0,Plant-01,0.9988,0.0144,0.025
35000.0,Plant-01,0.9807,0.0132,0.025
140000.0,Plant-01,0.9812,0.0167,0.025
260000.0,Plant-01,0.9821,0.0188,0.025
340000.0,Plant-01,0.9854,0.0052,0.025
440000.0,Plant-01,0.9848,0.019,0.025
550000.0,Plant-01,0.9873,0.0093,0.025
650000.0,Plant-01,0.9856,0.0147,0.025
770000.0,Plant-01,0.9888,0.0239,0.025
850000.0,Plant-01,0.9898,0.0144,0.025
0.0,Plant-02,0.9993,0.0135,0.063
120000.0,Plant-02,0.9759,0.0157,0.063
550000.0,Plant-02,1.0066,0.0178,0.063
620000.0,Plant-02,1.0109,0.0182,0.063
690000.0,Plant-02,1.0131,0.0117,0.063
770000.0,Plant-02,1.0221,0.0195,0.063
850000.0,Plant-02,1.0236,0.0205,0.063
930000.0,Plant-02,1.0299,0.0173,0.063
1000000.0,Plant-02,1.038,0.0255,0.063
0.0,Plant-03,0.9987,0.019,0.227
260000.0,Plant-03,1.113,0.0246,0.227
310000.0,Plant-03,1.1593,0.015,0.227
510000.0,Plant-03,1.3363,0.0212,0.227
550000.0,Plant-03,1.3791,0.0169,0.227
590000.0,Plant-03,1.4019,0.0171,0.227
630000.0,Plant-03,1.445,0.0178,0.227
680000.0,Plant-03,1.5081,0.0222,0.227
740000.0,Plant-03,1.5336,0.0245,0.227
0.0,Plant-04,1.0028,0.0183,0.298
660000.0,Plant-04,2.5031,0.0279,0.298
810000.0,Plant-04,2.9181,0.0331,0.298
860000.0,Plant-04,3.0702,0.0384,0.298
930000.0,Plant-04,3.2344,0.0444,0.298
1000000.0,Plant-04,3.5817,0.0423,0.298
1050000.0,Plant-04,3.6732,0.0387,0.298
1100000.0,Plant-04,3.7639,0.0416,0.298
