model,type,n_params,R2,RMSE,AICc,BIC,LOO_RMSE,LOO_R2,Coverage_95,condition
power_law,parametric,3.0,0.9986064062464773,0.0292082534729348,-90.53251078099444,-91.01533879214867,,,,Lab-HP
exponential,parametric,3.0,0.9864403841174479,0.09110898046676448,-58.67956924072241,-59.162397251876634,,,,Lab-HP
weibull,parametric,4.0,0.9985987734102139,0.02928813234038338,-86.41159632399605,-88.29981144997946,,,,Lab-HP
GP_rbf,gp,,0.9983056200016686,0.032206453306192144,,,0.044019630961180604,0.9968346786429148,0.8571428571428571,Lab-HP
GP_matern32,gp,,0.9995266664526031,0.017022413514275244,,,0.04859701541494206,0.996142160022904,0.8571428571428571,Lab-HP
GP_matern52,gp,,0.9992022204294535,0.022099321938942786,,,0.048924068494324735,0.9960900595367621,0.7857142857142857,Lab-HP
GP_rational_quadratic,gp,,0.9983056261604929,0.032206394773258075,,,0.04978672927656814,0.9959509587039718,0.8571428571428571,Lab-HP
power_law,parametric,3.0,-2.0872192862952943e-14,0.0025754333893264034,-158.5286486698283,-159.01147668098253,,,,Lab-Ctrl
exponential,parametric,3.0,0.0,0.0025754333893263765,-158.52864866982858,-159.0114766809828,,,,Lab-Ctrl
weibull,parametric,4.0,-1.7729782086917112e-09,0.0025754333916094703,-154.48420420056243,-156.37241932654587,,,,Lab-Ctrl
GP_rbf,gp,,0.4063865558694313,0.0019842764860264497,,,0.003000790994768259,-0.3575969450780936,0.8571428571428571,Lab-Ctrl
GP_matern32,gp,,0.4566635858268422,0.0018983868983225784,,,0.00305889648444205,-0.410681324956353,0.8571428571428571,Lab-Ctrl
GP_matern52,gp,,0.43521972531053177,0.0019354862125881603,,,0.0030133174743719737,-0.36895488713091495,0.8571428571428571,Lab-Ctrl
GP_rational_quadratic,gp,,0.40638598477828936,0.001984277440521722,,,0.0029902534711878062,-0.3480790599538022,0.8571428571428571,Lab-Ctrl
power_law,parametric,3.0,-2.1538326677728037e-14,0.005040684477330497,-95.80426794251841,-98.89651266353627,,,,Plant-01
exponential,parametric,3.0,0.00976532496308824,0.005016012135220115,-95.90240112704377,-98.99464584806164,,,,Plant-01
weibull,parametric,4.0,0.0790986620371662,0.00483722251355349,-90.62829167621607,-97.41795130423988,,,,Plant-01
GP_rbf,gp,,0.9922927546500189,0.00044252631952799813,,,0.006773026139927434,-0.8054542020245257,0.9,Plant-01
GP_matern32,gp,,0.9641247819233717,0.0009547436716208244,,,0.007931475809445771,-1.4758765183235232,0.8,Plant-01
GP_matern52,gp,,0.8097460024151808,0.0021986515634892893,,,0.007998099629938119,-1.517645578858101,0.8,Plant-01
GP_rational_quadratic,gp,,2.5898615046981988e-06,0.005040677949988874,,,0.006773026583227591,-0.8054544383614721,0.9,Plant-01
power_law,parametric,3.0,0.8812402897760304,0.0059850506780384175,-81.33282850499177,-85.5411547729831,,,,Plant-02
exponential,parametric,3.0,0.813721537499976,0.00749574130847211,-77.28156441451615,-81.4898906825075,,,,Plant-02
weibull,parametric,4.0,0.8861710677630718,0.005859487046463017,-74.5144778512418,-83.72557954189692,,,,Plant-02
GP_rbf,gp,,0.9933862982816296,0.0014123930425079092,,,0.013069120220134858,0.43372658789995067,0.6666666666666666,Plant-02
GP_matern32,gp,,0.9999999978349395,8.081059154326731e-07,,,0.013054261592892902,0.4350134782691115,0.7777777777777778,Plant-02
GP_matern52,gp,,0.9981895095103983,0.0007389777994622398,,,0.01314966284267492,0.42672539954607835,0.5555555555555556,Plant-02
GP_rational_quadratic,gp,,0.9933863272649595,0.0014123899477283108,,,0.013109795041959043,0.43019629473754684,0.5555555555555556,Plant-02
power_law,parametric,3.0,0.9960490184016579,0.011067128970058245,-70.26796652755458,-74.47629279554592,,,,Plant-03
exponential,parametric,3.0,0.9773727505987168,0.0264849007254229,-54.56124886184688,-58.769575129838216,,,,Plant-03
weibull,parametric,4.0,0.9982913105707911,0.007278033225019438,-70.61210306409845,-79.82320475475358,,,,Plant-03
GP_rbf,gp,,0.9983224700939702,0.007211367082386499,,,0.016595844251045055,0.9911154841644867,0.8888888888888888,Plant-03
GP_matern32,gp,,0.9988973589412711,0.00584654837707292,,,0.019372928932599412,0.9878933040501198,0.8888888888888888,Plant-03
GP_matern52,gp,,0.9983436254563128,0.007165751465816022,,,0.022101009218131813,0.9842435173202826,0.8888888888888888,Plant-03
GP_rational_quadratic,gp,,0.9983224698894708,0.007211367521937582,,,0.016595901044260144,0.9911154233563622,0.8888888888888888,Plant-03
power_law,parametric,3.0,0.9978649919613342,0.03889777222675232,-39.94909278772545,-45.71076816268594,,,,Plant-04
exponential,parametric,3.0,0.9883069216200842,0.09103101853544639,-26.344879480304115,-32.106554855264605,,,,Plant-04
weibull,parametric,4.0,0.9978871573296693,0.038695329684721204,-30.699248526029542,-43.71481569264353,,,,Plant-04
GP_rbf,gp,,0.9979162692246434,0.038427822378579626,,,0.6757486103761852,0.35565215657244,0.75,Plant-04
GP_matern32,gp,,0.9986096565763296,0.031389616886595924,,,0.5652760986407207,0.5491092745459782,0.625,Plant-04
GP_matern52,gp,,0.9979789665190628,0.03784528026074999,,,0.5334959443347356,0.5983828025524114,0.625,Plant-04
GP_rational_quadratic,gp,,0.9979162703507205,0.038427811995113345,,,0.6762050227270991,0.35478145517347004,0.625,Plant-04
